race_id,office,state,district,holder_party,holder_uncertain,open_seat,total,last_7d,dem_party_ie,dem_party_coord,dem_outside,dem_super_pac,dem_total,dem_last_7d,dem_first_party_dollar,dem_side,dem_nominee_candidate_id,dem_nominee_name,dem_nominee_basis,dem_nominee_receipts,dem_nominee_coh,dem_nominee_late_48h,dem_nominee_from_party,dem_nominee_through,rep_party_ie,rep_party_coord,rep_outside,rep_super_pac,rep_total,rep_last_7d,rep_first_party_dollar,rep_side,rep_nominee_candidate_id,rep_nominee_name,rep_nominee_basis,rep_nominee_receipts,rep_nominee_coh,rep_nominee_late_48h,rep_nominee_from_party,rep_nominee_through,split_signal,note
S-OK,S,OK,,REP,False,False,64528.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,S6OK04197,"PRIEST, JIM",receipts,370493.38,55850.77,0,0.0,2026-08-05,0.0,0.0,64528.1,64528.1,64528.1,0.0,,defense,S6OK04247,"HERN, KEVIN",ie,9953578.89,2491910.11,0,62000.0,2026-06-30,False,
S-AL,S,AL,,REP,False,False,64305.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,S6AL00435,"SWEETSER, KYLE",receipts,166055.63,2683.73,0,0.0,2026-06-30,0.0,0.0,64305.07,64305.07,64305.07,0.0,,defense,S6AL00476,"MOORE, FELIX BARRY",ie,3787329.72,627788.17,0,0.0,2026-06-30,False,
H-OR-05,H,OR,05,DEM,False,False,60444.88,0.0,0.0,0.0,60444.88,60444.88,60444.88,0.0,,defense,H4OR05304,"BYNUM, JANELLE",ie,3760211.5,2715860.25,0,0.0,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6OR05242,"ADAIR, PATTI",receipts,423921.54,135365.08,0,0.0,2026-06-30,False,
H-CA-49,H,CA,49,DEM,False,False,60444.87,0.0,0.0,0.0,60444.87,60444.87,60444.87,0.0,,defense,H8CA49058,"LEVIN, MIKE",ie,3164023.36,1418236.98,0,1686.55,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6CA49169,"KURDIAN, ARMEN",receipts,58783.73,17916.43,0,0.0,2026-06-30,False,
H-MN-01,H,MN,01,REP,False,False,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,H6MN01190,"JOHNSON, JACOB",receipts,2000546.73,1011593.33,0,5000.0,2026-07-22,0.0,0.0,50000.0,50000.0,50000.0,0.0,,defense,H2MN01223,"FINSTAD, BRAD",ie,2030569.31,1283923.18,0,0.0,2026-07-22,False,
S-WV,S,WV,,REP,False,False,49140.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,offense,S4WV00357,"SHREWSBURY, ZACHARY C",receipts,515586.59,-2854.25,0,0.0,2026-06-30,0.0,0.0,49140.57,49140.57,49140.57,0.0,,defense,S4WV00159,"CAPITO, SHELLEY MOORE",ie,4624145.47,4377200.52,0,62000.0,2026-06-30,False,
H-FL-27,H,FL,27,REP,False,False,45012.5,0.0,0.0,0.0,12.5,0.0,12.5,0.0,,offense,H6FL27098,"RODRIGUEZ, ELIOTT",ie,661173.11,325097.37,0,0.0,2026-07-29,0.0,0.0,45000.0,45000.0,45000.0,0.0,,defense,H8FL27185,"SALAZAR, MARIA ELVIRA",receipts,1999399.08,2259546.73,0,0.0,2026-07-29,False,
H-MD-06,H,MD,06,DEM,False,False,42387.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H4MD06340,"DELANEY, APRIL MCCLAIN",ie,12308220.11,307611.31,0,52.77,2026-06-30,0.0,0.0,42387.38,42387.38,42387.38,0.0,,offense,H6MD06287,"FICKER, ROBIN",receipts,403933.7,400.86,0,0.0,2026-06-30,False,
H-TX-18,H,TX,18,DEM,True,False,40872.11,2979.33,0.0,0.0,40872.11,40872.11,40872.11,2979.33,,,H6TX18232,"MENEFEE, CHRISTIAN",ie,3637578.6,156015.99,0,0.0,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,,H6TX18323,"BERRY, ALLEN D DR",receipts,8512.13,-171.29,0,0.0,2026-07-15,False,
H-MD-01,H,MD,01,REP,False,False,36173.95,0.0,0.0,0.0,36173.95,0.0,36173.95,0.0,,offense,H6MD01320,"SCHWARTZ, DANIEL",receipts,695169.98,72575.48,0,0.0,2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,defense,H8MD01094,"HARRIS, ANDREW P",ie,2319668.06,1853603.02,0,0.0,2026-06-30,False,
